,mean_inoculum_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
201,9.0,0.9323786793953859,11154,4,0.22918974126198857,41617,0.5,0.32,0.16
202,8.0,0.9170323095333067,11428,5,0.2439399238512853,42663,0.52,0.2,0.10400000000000001
203,7.0,0.8880675818373812,11025,4,0.2601800360960711,40438,0.526,0.19391634980988592,0.10200000000000001
204,6.0,0.8862131246237207,10774,4,0.2914540084726381,39088,0.498,0.24096385542168675,0.12
205,5.0,0.8782991202346041,11015,5,0.3267033420567711,40606,0.462,0.2813852813852814,0.13
206,4.0,0.8061716489874639,10742,5,0.36874179763953663,38954,0.52,0.22692307692307692,0.11800000000000001
207,3.0,0.8037694013303769,11037,6,0.4049500519101166,40148,0.514,0.311284046692607,0.16
208,2.0,0.787765293383271,10936,6,0.5102997007527739,41032,0.518,0.3436293436293436,0.178
209,1.0,0.6747663551401869,10375,8,0.5754630837567136,40262,0.462,0.24675324675324675,0.114
210,10.0,0.9243091710052063,11251,4,0.2036835311949794,42099,0.492,0.23170731707317074,0.114
211,9.0,0.9112,10955,5,0.23160882419907508,40280,0.514,0.13618677042801555,0.06999999999999999
212,8.0,0.9095607235142119,11316,4,0.2452731571497097,42063,0.522,0.19540229885057472,0.10200000000000001
213,7.0,0.9168388429752066,11182,4,0.25887482824700925,40764,0.46,0.3,0.138
214,6.0,0.8878107944208611,11219,4,0.28683081361449264,41319,0.508,0.27165354330708663,0.138
215,5.0,0.8570407433881344,10991,5,0.31398945850941096,39819,0.53,0.24528301886792453,0.13
216,4.0,0.8309178743961353,10766,5,0.3726409960088953,39335,0.46,0.2391304347826087,0.11000000000000001
217,3.0,0.8424725822532403,10614,5,0.39845511236603537,37380,0.492,0.35772357723577236,0.176
218,2.0,0.8403247631935047,10595,6,0.4663587430383899,38077,0.462,0.48917748917748916,0.226
219,1.0,0.7465648854961832,10479,6,0.5481437065142695,40470,0.51,0.34901960784313724,0.178
220,10.0,0.9309481216457961,11291,4,0.20974716566666285,42226,0.49,0.21224489795918366,0.104
221,9.0,0.9232876712328767,11306,5,0.23084902937623555,42190,0.52,0.24615384615384617,0.128
222,8.0,0.9154391707583197,11195,5,0.24086954214749656,41588,0.436,0.2889908256880734,0.126
223,7.0,0.8960313024035774,11088,4,0.25806182541504513,40567,0.47,0.20851063829787234,0.09799999999999999
224,6.0,0.8851224105461394,11333,5,0.2954188652140274,41285,0.474,0.22784810126582278,0.10799999999999998
225,5.0,0.8846931894807822,11177,4,0.31262600076882724,40331,0.512,0.33203125,0.17
226,4.0,0.8696721311475409,10816,4,0.3620890973349803,38609,0.528,0.3977272727272727,0.21
227,3.0,0.80125,10704,6,0.432888617417514,39954,0.45,0.29333333333333333,0.132
228,2.0,0.740495867768595,10525,5,0.4770720454071011,38463,0.474,0.33755274261603374,0.15999999999999998
229,1.0,0.7495652173913043,10835,5,0.553220964124152,42261,0.51,0.43529411764705883,0.222
230,10.0,0.9094809094809094,10936,4,0.2190938322936562,41151,0.482,0.12448132780082988,0.06
231,9.0,0.9109552077711819,11282,4,0.2216600791159742,42120,0.434,0.23963133640552994,0.104
232,8.0,0.8927501497902935,11345,4,0.2452216074203033,42010,0.43,0.16744186046511628,0.072
233,7.0,0.9019407558733401,11252,4,0.25648495526773835,41410,0.51,0.24705882352941178,0.126
234,6.0,0.8581375108790252,11070,4,0.2812781356058065,40571,0.434,0.2488479262672811,0.108
235,5.0,0.8748317631224765,11151,5,0.3166005629781016,41034,0.502,0.2589641434262948,0.13
236,4.0,0.8265609514370664,10931,5,0.3618900339929709,39319,0.458,0.23580786026200873,0.108
237,3.0,0.8045112781954887,10862,6,0.4284359708501842,39812,0.508,0.28346456692913385,0.144
238,2.0,0.7626404494382022,10412,6,0.48465706182278234,37372,0.498,0.321285140562249,0.16
239,1.0,0.7830609212481426,10701,5,0.5548859715723852,42234,0.534,0.45318352059925093,0.24200000000000002
240,10.0,0.9231077292751302,11614,4,0.20851882591893314,43533,0.506,0.24110671936758893,0.122
241,9.0,0.922808547754034,11235,4,0.2265458746458959,41951,0.476,0.25630252100840334,0.12199999999999998
242,8.0,0.9113867966326983,11328,4,0.24227050890349203,42472,0.516,0.2248062015503876,0.116
243,7.0,0.9035181236673774,11469,4,0.24909332447383764,42096,0.506,0.2845849802371542,0.14400000000000002
244,6.0,0.8924794359576969,11252,4,0.280825147615263,41061,0.494,0.2591093117408907,0.128
245,5.0,0.8887938408896493,10891,5,0.3163745565327215,39210,0.448,0.41964285714285715,0.188
